GMT_timestamp,local_timestamp,link,age,sex
2022-03-10_14:51:24,2022-03-10_17:51:24,https://www.testable.org/experiment/8296/157815/start,"22",male

rowNo,type,condition1,trialNo,stim1,topLeft,topRight,key,ITI,stimFormat,feedback,feedbackTime,keyboard,random,select,fixation,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
7,test,"","4",традиционная ориентация,гетеросексуал,гомосексуал,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",43241,"1",2223,"1"
5,test,"","2",гетеросексуал,гетеросексуал,гомосексуал,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",45543,"1",1511,"1"
8,test,"","5",Гетеросексуальность,гетеросексуал,гомосексуал,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",47531,"1",1199,"1"
12,test,"","9",ЛГБТ,гетеросексуал,гомосексуал,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.66",49071,"0",740,"1"
13,test,"","10",гомосексуалист,гетеросексуал,гомосексуал,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",50758,"0",893,"1"
9,test,"","6",гей,гетеросексуал,гомосексуал,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.66",52229,"0",681,"1"
11,test,"","8",гомосексуал,гетеросексуал,гомосексуал,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",53765,"0",733,"1"
6,test,"","3",традиционная семья,гетеросексуал,гомосексуал,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",55111,"1",546,"1"
10,test,"","7",однополая семья,гетеросексуал,гомосексуал,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",56979,"0",1080,"1"
4,test,"","1",натурал,гетеросексуал,гомосексуал,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",58486,"1",705,"1"
24,test,"","10",Страдающий,Хорошее,Плохое,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.66",70623,"0",1508,"1"
16,test,"","2",Потрясающий,Хорошее,Плохое,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",72208,"1",793,"1"
18,test,"","4",Радостный,Хорошее,Плохое,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.66",73888,"1",889,"1"
22,test,"","8",Ужасный,Хорошее,Плохое,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",75414,"0",732,"1"
21,test,"","7",Злой,Хорошее,Плохое,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",799,48,"16.65",76866,"0",651,"1"
19,test,"","5",Поразительный,Хорошее,Плохое,"1","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.66",78750,"0",1087,"0"
20,test,"","6",Отвратительный,Хорошее,Плохое,"0","800",word,incorrect: WRONG!,"1000",1 0,"1","","1",800,48,"16.67",81307,"0",761,"1"
