ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q22: Neighbors: Homosexuals,Q21: Neighbors: Immigrants/foreign workers,Q23: Neighbors: People of a different religion,Q29: Men make better political leaders than women do,Q36: Homosexual couples are as good parents as other couples,Q212: Political action: Joining unofficial strikes,Q71: Confidence: The Government,Q69: Confidence: The Police,Q80: Confidence: The Women´s Movement,Q227: How often in country´s elections: Voters are bribed,Q130: Immigration policy preference,Q189: Justifiable: For a man to beat his wife,Q182: Justifiable: Homosexuality,Q183: Justifiable: Prostitution,Q184: Justifiable: Abortion,Q190: Justifiable: Parents beating children,Q186: Justifiable: Sex before marriage,Q187: Justifiable: Suicide,Q188: Justifiable: Euthanasia,Q193: Justifiable: Having casual sex
1070087655,2022-01-24 15:21:40,2022-01-24 15:21:40,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,,,,,Затрудняюсь ответить,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1.0,5.0,5.0,5.0,1.0,10.0,5.0,1.0,1.0,5.0,1.0,Единая Россия,False,False,False,False,False,1,1,1,1,1,-1,2,-1,-1,2,-1,-1,-1,1.0,5.0,5.0,5.0,1.0,10.0,1.0,5.0,1.0
1070082406,2022-01-24 15:18:34,2022-01-24 15:18:34,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,Человека другой расы,Гомосексуала,,,,Скорее не согласен,Затрудняюсь ответить,Абсолютно согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,3.0,7.0,10.0,5.0,8.0,2.0,5.0,5.0,8.0,4.0,КПРФ,True,False,False,False,True,1,1,1,1,1,3,-1,-1,3,3,-1,2,3,1.0,3.0,7.0,10.0,5.0,8.0,5.0,8.0,4.0
1070070880,2022-01-24 15:11:44,2022-01-24 15:11:44,Женский,до 29,малый город (до 50 тыс. жителей),female_29,,,,Иммигранта,,,Полностью согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,2.0,1.0,3.0,10.0,8.0,4.0,9.0,9.0,8.0,10.0,4.0,Единая Россия,False,False,False,False,False,1,1,1,1,1,1,5,3,2,2,4,4,3,2.0,1.0,3.0,10.0,8.0,4.0,8.0,10.0,4.0
1069948478,2022-01-24 14:01:32,2022-01-24 14:01:33,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,Человека другой расы,,Иммигранта,,,Скорее согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,3.0,1.0,10.0,1.0,7.0,10.0,10.0,1.0,10.0,1.0,КПРФ,False,False,False,False,False,1,1,1,1,1,2,4,3,2,2,1,2,3,1.0,3.0,1.0,10.0,1.0,7.0,1.0,10.0,1.0
1069933335,2022-01-24 13:52:48,2022-01-24 13:52:48,Женский,до 29,малый город (до 50 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,3.0,5.0,КПРФ,True,False,False,False,True,1,1,1,1,1,3,5,3,2,2,1,3,2,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,5.0
1069929635,2022-01-24 13:50:39,2022-01-24 13:50:39,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,8.0,5.0,10.0,4.0,10.0,10.0,4.0,6.0,7.0,4.0,Справедливая Россия - За Правду,False,False,False,False,False,1,1,1,1,1,4,1,2,3,3,1,1,2,1.0,8.0,5.0,10.0,4.0,10.0,6.0,7.0,4.0
1069897301,2022-01-24 13:32:13,2022-01-24 13:32:13,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,,,Гомосексуала,Иммигранта,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,1.0,1.0,1.0,3.0,3.0,10.0,5.0,10.0,1.0,1.0,1.0,КПРФ,False,False,False,False,False,1,1,1,1,1,2,5,3,3,3,3,2,2,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0
1069771915,2022-01-24 12:20:27,2022-01-24 12:20:27,Женский,до 29,средний город (50-100 тыс. жителей),female_29,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,1.0,1.0,10.0,1.0,10.0,10.0,10.0,1.0,10.0,1.0,ЛДПР,False,False,False,False,False,1,1,1,1,1,2,3,3,2,3,1,4,3,1.0,1.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0
1069744081,2022-01-24 12:03:22,2022-01-24 12:03:22,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_29,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Затрудняюсь ответить,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,Запретить приезжать сюда из других стран,Скорее доверяю,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,1.0,3.0,1.0,ЛДПР,False,False,False,False,False,1,1,1,1,1,2,-1,3,3,3,2,1,4,1.0,1.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0
1069688075,2022-01-24 11:29:30,2022-01-24 11:29:30,Женский,до 29,посёлок городского типа,female_29,Наркозависимого,,,,,,Затрудняюсь ответить,"Ни согласен, ни несогласен",Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,3.0,3.0,6.0,4.0,6.0,6.0,5.0,1.0,2.0,4.0,Единая Россия,False,False,False,False,False,1,1,1,1,1,-1,3,3,2,-1,-1,3,3,1.0,3.0,3.0,6.0,4.0,6.0,1.0,2.0,4.0
