ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q22: Neighbors: Homosexuals,Q21: Neighbors: Immigrants/foreign workers,Q23: Neighbors: People of a different religion,Q29: Men make better political leaders than women do,Q36: Homosexual couples are as good parents as other couples,Q212: Political action: Joining unofficial strikes,Q71: Confidence: The Government,Q69: Confidence: The Police,Q80: Confidence: The Women´s Movement,Q227: How often in country´s elections: Voters are bribed,Q130: Immigration policy preference,Q189: Justifiable: For a man to beat his wife,Q182: Justifiable: Homosexuality,Q183: Justifiable: Prostitution,Q184: Justifiable: Abortion,Q190: Justifiable: Parents beating children,Q186: Justifiable: Sex before marriage,Q187: Justifiable: Suicide,Q188: Justifiable: Euthanasia,Q193: Justifiable: Having casual sex
1067705382,2022-01-22 21:55:57,2022-01-22 21:55:57,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,Иммигранта,,,Скорее согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,1.0,10.0,4.0,10.0,10.0,5.0,10.0,10.0,1.0,Зелёные,False,False,False,False,False,1,2,2,1,2,2,4,3,-1,-1,3,-1,3,1.0,1.0,1.0,10.0,4.0,10.0,10.0,10.0,1.0
1067704716,2022-01-22 21:55:26,2022-01-22 21:55:26,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,,,,,,Не против любого из перечисленных,Скорее согласен,Скорее согласен,Скорее не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,5.0,5.0,7.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,Партия пенсионеров,False,False,False,False,False,2,2,2,2,2,2,2,2,4,3,2,2,2,5.0,5.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0
1067690527,2022-01-22 21:44:38,2022-01-22 21:44:38,Мужской,до 29,средний город (50-100 тыс. жителей),male_29,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Полностью не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1.0,7.0,6.0,10.0,1.0,10.0,10.0,4.0,10.0,10.0,5.0,Зелёные,True,False,False,False,True,1,2,2,2,2,4,1,2,3,4,2,-1,2,1.0,7.0,6.0,10.0,1.0,10.0,10.0,10.0,5.0
1067687989,2022-01-22 21:42:50,2022-01-22 21:42:50,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,,,,Затрудняюсь ответить,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,2.0,3.0,8.0,1.0,10.0,10.0,6.0,5.0,9.0,4.0,ПАРНАС,True,False,False,False,True,1,2,2,2,2,-1,4,3,4,3,3,2,3,1.0,2.0,3.0,8.0,1.0,10.0,5.0,9.0,4.0
1067687974,2022-01-22 21:42:50,2022-01-22 21:42:50,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1.0,1.0,1.0,7.0,1.0,10.0,7.0,8.0,1.0,1.0,1.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,2,4,3,1,1,2,4,2,1.0,1.0,1.0,7.0,1.0,10.0,1.0,1.0,1.0
1067678901,2022-01-22 21:35:41,2022-01-22 21:35:41,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Уже посещал,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,8.0,9.0,10.0,7.0,10.0,7.0,6.0,7.0,8.0,10.0,КПРФ,False,False,False,False,False,1,2,2,2,2,2,4,1,3,3,3,2,3,1.0,8.0,9.0,10.0,7.0,10.0,7.0,8.0,10.0
1067678263,2022-01-22 21:35:06,2022-01-22 21:35:06,Мужской,до 29,средний город (50-100 тыс. жителей),male_29,,,,,,Не против любого из перечисленных,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно доверяю,1.0,10.0,10.0,10.0,1.0,10.0,10.0,1.0,5.0,10.0,10.0,КПРФ,True,False,False,False,True,2,2,2,2,2,4,1,2,3,3,1,1,2,1.0,10.0,10.0,10.0,1.0,10.0,5.0,10.0,10.0
1067676671,2022-01-22 21:33:46,2022-01-22 21:33:46,Мужской,до 29,посёлок городского типа,male_29,Наркозависимого,,,,,,Скорее не согласен,Полностью не согласен,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Абсолютно не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,4.0,8.0,10.0,5.0,10.0,5.0,5.0,1.0,10.0,5.0,Коммунистическая партия Коммунисты России,False,False,False,False,False,1,2,2,2,2,3,5,-1,-1,-1,3,-1,3,1.0,4.0,8.0,10.0,5.0,10.0,1.0,10.0,5.0
1067674735,2022-01-22 21:32:15,2022-01-22 21:32:15,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,Гомосексуала,Иммигранта,,,Полностью согласен,Скорее согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,3.0,1.0,1.0,1.0,10.0,10.0,10.0,5.0,1.0,7.0,Единая Россия,False,False,False,False,False,1,2,1,1,2,1,2,3,2,2,3,2,3,1.0,3.0,1.0,1.0,1.0,10.0,5.0,1.0,7.0
1067668064,2022-01-22 21:27:23,2022-01-22 21:27:23,Мужской,до 29,средний город (50-100 тыс. жителей),male_29,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,5.0,1.0,1.0,5.0,2.0,9.0,6.0,5.0,5.0,ЛДПР,False,False,False,False,False,1,2,1,2,2,2,5,2,2,2,3,2,3,1.0,1.0,5.0,1.0,1.0,5.0,6.0,5.0,5.0
1067667461,2022-01-22 21:26:56,2022-01-22 21:26:56,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,,,,Скорее не согласен,Скорее согласен,Скорее не согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Затрудняюсь ответить,Не одобряю,Очень часто,Затрудняюсь ответить,Скорее не доверяю,3.0,5.0,6.0,10.0,3.0,9.0,7.0,5.0,6.0,7.0,8.0,ЛДПР,True,False,False,False,True,1,2,2,2,2,3,2,2,3,2,3,1,-1,3.0,5.0,6.0,10.0,3.0,9.0,6.0,7.0,8.0
1067665641,2022-01-22 21:25:35,2022-01-22 21:25:35,Мужской,до 29,крупный город (свыше 500 тыс. жителей),male_29,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,4.0,10.0,3.0,10.0,4.0,10.0,1.0,4.0,5.0,ЛДПР,False,True,False,False,True,1,2,2,2,2,2,5,3,3,3,4,2,3,1.0,1.0,4.0,10.0,3.0,10.0,1.0,4.0,5.0
