ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q22: Neighbors: Homosexuals,Q21: Neighbors: Immigrants/foreign workers,Q23: Neighbors: People of a different religion,Q29: Men make better political leaders than women do,Q36: Homosexual couples are as good parents as other couples,Q212: Political action: Joining unofficial strikes,Q71: Confidence: The Government,Q69: Confidence: The Police,Q80: Confidence: The Women´s Movement,Q227: How often in country´s elections: Voters are bribed,Q130: Immigration policy preference,Q223: Which party would you vote for if there were a national election tomorrow,Q189: Justifiable: For a man to beat his wife,Q182: Justifiable: Homosexuality,Q183: Justifiable: Prostitution,Q184: Justifiable: Abortion,Q190: Justifiable: Parents beating children,Q186: Justifiable: Sex before marriage,Q187: Justifiable: Suicide,Q188: Justifiable: Euthanasia,Q193: Justifiable: Having casual sex
1067720261,2022-01-22 22:07:41,2022-01-22 22:07:41,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,5.0,1.0,4.0,6.0,6.0,10.0,3.0,8.0,8.0,8.0,8.0,КПРФ,False,False,False,False,False,1,2,1,2,2,1,5,3,2,2,2,2,3,0,5.0,1.0,4.0,6.0,6.0,10.0,8.0,8.0,8.0
1067719301,2022-01-22 22:06:57,2022-01-22 22:06:57,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Полностью согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,7.0,7.0,10.0,1.0,10.0,10.0,10.0,5.0,10.0,10.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,1,3,2,3,3,2,2,3,0,1.0,7.0,7.0,10.0,1.0,10.0,5.0,10.0,10.0
1067714744,2022-01-22 22:03:21,2022-01-22 22:03:21,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,Человека другой расы,Гомосексуала,Иммигранта,Человека другой религии,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,4.0,1.0,3.0,4.0,3.0,10.0,5.0,8.0,2.0,10.0,5.0,Единая Россия,False,False,False,False,False,1,1,1,1,1,2,5,3,2,2,2,-1,3,1,4.0,1.0,3.0,4.0,3.0,10.0,2.0,10.0,5.0
1067714195,2022-01-22 22:02:57,2022-01-22 22:02:57,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,Иммигранта,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3.0,3.0,5.0,8.0,3.0,7.0,8.0,7.0,5.0,8.0,6.0,Партия Роста,False,False,False,False,False,1,2,2,1,2,2,3,2,3,3,3,1,3,0,3.0,3.0,5.0,8.0,3.0,7.0,5.0,8.0,6.0
1067703165,2022-01-22 21:54:14,2022-01-22 21:54:14,Мужской,30-49,посёлок городского типа,male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,7.0,5.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,Справедливая Россия - За Правду,False,False,False,False,False,1,2,2,2,2,2,5,3,4,4,2,-1,3,0,1.0,1.0,7.0,5.0,1.0,10.0,1.0,1.0,10.0
1067702511,2022-01-22 21:53:42,2022-01-22 21:53:42,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно не доверяю,4.0,1.0,10.0,10.0,5.0,10.0,5.0,5.0,1.0,5.0,10.0,ЛДПР,False,False,False,False,False,1,2,2,2,2,2,5,3,3,3,4,2,2,0,4.0,1.0,10.0,10.0,5.0,10.0,1.0,5.0,10.0
1067701987,2022-01-22 21:53:15,2022-01-22 21:53:15,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,Затрудняюсь ответить,Абсолютно доверяю,1.0,10.0,10.0,1.0,1.0,10.0,9.0,3.0,2.0,1.0,7.0,Единая Россия,False,False,False,False,False,1,2,2,2,2,4,1,2,4,4,1,1,-1,1,1.0,10.0,10.0,1.0,1.0,10.0,2.0,1.0,7.0
1067701692,2022-01-22 21:53:01,2022-01-22 21:53:01,Мужской,30-49,средний город (50-100 тыс. жителей),male_30_49,Наркозависимого,,,,,,Скорее не согласен,"Ни согласен, ни несогласен",Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,1.0,1.0,1.0,1.0,5.0,10.0,5.0,1.0,1.0,5.0,ЛДПР,True,False,False,False,True,1,2,2,2,2,3,3,-1,3,3,-1,1,3,0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0
1067700180,2022-01-22 21:51:47,2022-01-22 21:51:47,Мужской,30-49,сельский населённый пункт,male_30_49,Наркозависимого,,,,,,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Мог бы посетить,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,2.0,1.0,5.0,2.0,1.0,8.0,8.0,5.0,1.0,2.0,5.0,Единая Россия,True,False,False,False,True,1,2,2,2,2,2,-1,2,2,2,2,-1,3,1,2.0,1.0,5.0,2.0,1.0,8.0,1.0,2.0,5.0
1067699027,2022-01-22 21:50:52,2022-01-22 21:50:52,Мужской,30-49,крупный город (свыше 500 тыс. жителей),male_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно не доверяю,3.0,6.0,8.0,2.0,6.0,6.0,2.0,6.0,9.0,10.0,6.0,Единая Россия,False,False,False,False,False,1,2,1,2,2,2,5,3,2,2,4,3,2,1,3.0,6.0,8.0,2.0,6.0,6.0,9.0,10.0,6.0
