ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?"
1067672172,2022-01-22 21:30:19,2022-01-22 21:30:19,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,,,Не против любого из перечисленных,Полностью не согласен,Полностью согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Полностью не доверяю,Абсолютно не согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Абсолютно не доверяю,1.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Зелёные
1067671335,2022-01-22 21:29:42,2022-01-22 21:29:42,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Полностью согласен,Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,9.0,9.0,10.0,2.0,9.0,9.0,5.0,9.0,10.0,10.0,Зелёные
1067669923,2022-01-22 21:28:43,2022-01-22 21:28:43,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не доверяю,1.0,1.0,4.0,3.0,1.0,10.0,2.0,7.0,2.0,2.0,10.0,Единая Россия
1067668731,2022-01-22 21:27:52,2022-01-22 21:27:52,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,1.0,1.0,1.0,3.0,2.0,8.0,2.0,7.0,1.0,8.0,1.0,Единая Россия
1067668512,2022-01-22 21:27:43,2022-01-22 21:27:43,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью не согласен,Скорее не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,5.0,1.0,10.0,7.0,8.0,10.0,1.0,8.0,6.0,8.0,Единая Россия
1067666757,2022-01-22 21:26:24,2022-01-22 21:26:24,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,1.0,1.0,6.0,3.0,10.0,4.0,1.0,1.0,1.0,9.0,Зелёные
1067666711,2022-01-22 21:26:22,2022-01-22 21:26:22,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,Мы должны пускать всех желающих,Скорее не доверяю,2.0,1.0,3.0,8.0,5.0,8.0,1.0,2.0,8.0,10.0,1.0,Единая Россия
1067666542,2022-01-22 21:26:15,2022-01-22 21:26:15,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,Иммигранта,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Мог бы посетить,Полностью не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,7.0,7.0,10.0,1.0,10.0,10.0,7.0,8.0,8.0,7.0,ЛДПР
1067666286,2022-01-22 21:26:04,2022-01-22 21:26:04,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,Иммигранта,,,Полностью не согласен,Полностью согласен,Скорее не согласен,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Абсолютно согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,8.0,7.0,10.0,1.0,10.0,10.0,1.0,1.0,10.0,5.0,ЛДПР
1067666094,2022-01-22 21:25:55,2022-01-22 21:25:55,Мужской,более 50,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Полностью согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Полностью доверяю,Скорее согласен,Одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,10.0,10.0,10.0,1.0,6.0,1.0,4.0,7.0,3.0,10.0,10.0,Зелёные
1067665753,2022-01-22 21:25:40,2022-01-22 21:25:40,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,2.0,1.0,9.0,5.0,8.0,1.0,5.0,3.0,Единая Россия
1067665536,2022-01-22 21:25:30,2022-01-22 21:25:30,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,Иммигранта,,,Скорее не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Коммунистическая партия Коммунисты России
1067663082,2022-01-22 21:23:44,2022-01-22 21:23:44,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3.0,1.0,3.0,8.0,6.0,10.0,3.0,3.0,5.0,7.0,5.0,Единая Россия
1067661579,2022-01-22 21:22:39,2022-01-22 21:22:39,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Абсолютно доверяю,1.0,10.0,7.0,10.0,1.0,10.0,10.0,1.0,10.0,10.0,10.0,Яблоко
1067661495,2022-01-22 21:22:35,2022-01-22 21:22:35,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Затрудняюсь ответить,Скорее не согласен,Мог бы посетить,Скорее не доверяю,Затрудняюсь ответить,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,5.0,5.0,1.0,КПРФ
1067660849,2022-01-22 21:22:07,2022-01-22 21:22:07,Женский,30-49,сельский населённый пункт,female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,1.0,7.0,1.0,10.0,2.0,7.0,6.0,10.0,3.0,Единая Россия
1067659710,2022-01-22 21:21:18,2022-01-22 21:21:18,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,,,Не против любого из перечисленных,Скорее согласен,Полностью согласен,Скорее не согласен,Уже посещал,Полностью не доверяю,Полностью не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1.0,10.0,10.0,10.0,2.0,10.0,10.0,9.0,8.0,9.0,7.0,Зелёные
1066101695,2022-01-21 19:08:34,2022-01-21 19:08:34,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,5.0,5.0,5.0,1.0,10.0,2.0,5.0,1.0,КПРФ
1066100810,2022-01-21 19:07:59,2022-01-21 19:07:59,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,,,Не против любого из перечисленных,Скорее не согласен,Скорее согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1.0,6.0,3.0,10.0,2.0,10.0,10.0,5.0,2.0,2.0,8.0,Справедливая Россия - За Правду
1066099085,2022-01-21 19:06:47,2022-01-21 19:06:47,Женский,более 50,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,Единая Россия
1066096468,2022-01-21 19:04:55,2022-01-21 19:04:55,Женский,30-49,сельский населённый пункт,female_30_49,Наркозависимого,,,Иммигранта,,,Скорее не согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Скорее часто,Запретить приезжать сюда из других стран,Скорее доверяю,1.0,1.0,4.0,3.0,2.0,5.0,9.0,8.0,5.0,7.0,7.0,ЛДПР
1066095565,2022-01-21 19:04:15,2022-01-21 19:04:15,Женский,30-49,посёлок городского типа,female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Скорее согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,8.0,3.0,9.0,3.0,8.0,9.0,5.0,5.0,8.0,4.0,Партия пенсионеров
1066093139,2022-01-21 19:02:31,2022-01-21 19:02:31,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее согласен,Затрудняюсь ответить,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Абсолютно не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,7.0,9.0,9.0,1.0,9.0,5.0,6.0,3.0,3.0,9.0,Единая Россия
1066092764,2022-01-21 19:02:15,2022-01-21 19:02:15,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Затрудняюсь ответить,Скорее согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,Затрудняюсь ответить,Скорее не доверяю,1.0,5.0,5.0,8.0,1.0,8.0,10.0,5.0,1.0,5.0,5.0,Единая Россия
1066090478,2022-01-21 19:00:39,2022-01-21 19:00:39,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,4.0,4.0,10.0,5.0,8.0,1.0,6.0,3.0,8.0,5.0,КПРФ
1066084607,2022-01-21 18:56:35,2022-01-21 18:56:35,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Затрудняюсь ответить,Скорее согласен,Никогда бы не посетил,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,8.0,3.0,8.0,2.0,5.0,10.0,3.0,5.0,1.0,1.0,2.0,Единая Россия
1066083124,2022-01-21 18:55:31,2022-01-21 18:55:31,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Затрудняюсь ответить,Скорее не доверяю,Скорее не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,1.0,1.0,7.0,1.0,9.0,8.0,6.0,1.0,6.0,4.0,Партия пенсионеров
