ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?"
1071068771,2022-01-25 08:44:38,2022-01-25 08:44:38,Женский,до 29,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Полностью согласен,Полностью согласен,Скорее не согласен,Уже посещал,Скорее не доверяю,Полностью доверяю,Абсолютно согласен,Одобряю,Очень часто,Мы должны пускать всех желающих,Абсолютно доверяю,1.0,10.0,6.0,10.0,1.0,1.0,10.0,5.0,3.0,10.0,10.0,Единая Россия
1070960166,2022-01-25 06:47:59,2022-01-25 06:47:59,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Мог бы посетить,Полностью доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1.0,2.0,2.0,10.0,5.0,5.0,2.0,6.0,3.0,5.0,3.0,Единая Россия
1070445182,2022-01-24 19:08:41,2022-01-24 19:08:41,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Никогда бы не посетил,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Скорее доверяю,1.0,4.0,7.0,10.0,1.0,10.0,1.0,5.0,5.0,8.0,7.0,Партия пенсионеров
1070297390,2022-01-24 17:29:07,2022-01-24 17:29:07,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Полностью согласен,Скорее не согласен,Затрудняюсь ответить,Никогда бы не посетил,Полностью доверяю,Полностью доверяю,Скорее не согласен,Одобряю,Скорее часто,Затрудняюсь ответить,Затрудняюсь ответить,1.0,1.0,1.0,1.0,1.0,6.0,10.0,10.0,4.0,2.0,1.0,Единая Россия
1070142516,2022-01-24 15:53:03,2022-01-24 15:53:03,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Полностью согласен,Полностью не согласен,Скорее не согласен,Уже посещал,Скорее не доверяю,Полностью не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1.0,1.0,1.0,9.0,1.0,9.0,10.0,9.0,1.0,6.0,1.0,Гражданская платформа
1069191614,2022-01-23 23:08:12,2022-01-23 23:08:12,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,Затрудняюсь ответить,Абсолютно доверяю,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,Единая Россия
1069171290,2022-01-23 22:47:19,2022-01-23 22:47:19,Женский,более 50,сельский населённый пункт,female_50,Наркозависимого,,,,,,Скорее не согласен,Затрудняюсь ответить,Скорее не согласен,Затрудняюсь ответить,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,7.0,3.0,7.0,7.0,8.0,2.0,8.0,1.0,5.0,8.0,Единая Россия
1069016486,2022-01-23 20:54:30,2022-01-23 20:54:30,Женский,более 50,малый город (до 50 тыс. жителей),female_50,,,,,Человека другой религии,,Скорее не согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Полностью не доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Не очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,1.0,6.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,Единая Россия
1068896859,2022-01-23 19:38:30,2022-01-23 19:38:30,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_50,Наркозависимого,,,,,,Полностью не согласен,Полностью согласен,Затрудняюсь ответить,Уже посещал,Полностью не доверяю,Полностью не доверяю,Скорее согласен,Не одобряю,Очень часто,Мы должны пускать всех желающих,Скорее доверяю,1.0,10.0,10.0,10.0,1.0,10.0,9.0,3.0,10.0,10.0,10.0,ПАРНАС
1065665416,2022-01-21 14:12:09,2022-01-21 14:12:09,Женский,более 50,средний город (50-100 тыс. жителей),female_50,Наркозависимого,,,,,,Затрудняюсь ответить,Затрудняюсь ответить,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1.0,1.0,4.0,7.0,2.0,8.0,4.0,3.0,1.0,3.0,2.0,Единая Россия
