ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control
1049908158,2022-01-10 15:51:16,2022-01-10 15:51:16,Женский,30-49,сельский населённый пункт,female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее не согласен,Полностью не согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,1,1,1,1,5,5,4,1,5,3,Единая Россия,False,False,False,False,False
1049905350,2022-01-10 15:49:07,2022-01-10 15:49:07,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,,,,,,Не против любого из перечисленных,Скорее согласен,Полностью не согласен,Абсолютно не согласен,Никогда бы не посетил,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1,2,1,10,3,6,10,7,1,10,1,Единая Россия,False,False,False,False,False
1049902252,2022-01-10 15:46:48,2022-01-10 15:46:48,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью согласен,Абсолютно не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Скорее часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее доверяю,1,10,10,10,3,10,10,1,10,10,10,Гражданская платформа,False,False,False,False,False
1049900267,2022-01-10 15:45:20,2022-01-10 15:45:20,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее не согласен,Полностью согласен,Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1,7,2,4,2,10,9,8,2,8,2,Гражданская платформа,True,False,False,False,True
1049898645,2022-01-10 15:44:07,2022-01-10 15:44:07,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Полностью не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно доверяю,1,1,3,4,5,5,6,6,10,7,10,КПРФ,False,False,False,False,False
1049897741,2022-01-10 15:43:25,2022-01-10 15:43:25,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Затрудняюсь ответить,Полностью доверяю,Затрудняюсь ответить,Одобряю,Затрудняюсь ответить,"Пускать всех желающих до тех пор, пока есть рабочие места",Затрудняюсь ответить,1,1,5,3,4,10,4,7,6,4,7,Единая Россия,True,False,False,False,True
1049897481,2022-01-10 15:43:14,2022-01-10 15:43:14,Женский,30-49,средний город (50-100 тыс. жителей),female_30_49,,,Гомосексуала,,,,Скорее не согласен,"Ни согласен, ни несогласен",Скорее не согласен,Затрудняюсь ответить,Скорее не доверяю,Скорее не доверяю,Абсолютно не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,1,5,10,1,10,10,1,5,10,4,КПРФ,False,False,False,False,False
1049897379,2022-01-10 15:43:09,2022-01-10 15:43:09,Женский,более 50,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее согласен,Одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Абсолютно не доверяю,1,1,6,6,6,10,8,10,1,10,10,Единая Россия,False,False,True,False,False
1049895814,2022-01-10 15:42:01,2022-01-10 15:42:01,Женский,30-49,малый город (до 50 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Затрудняюсь ответить,1,5,6,8,3,6,7,8,7,4,7,Справедливая Россия - За Правду,False,False,False,False,False
1049892916,2022-01-10 15:39:50,2022-01-10 15:39:50,Женский,30-49,крупный город (свыше 500 тыс. жителей),female_30_49,Наркозависимого,,,,,,Скорее согласен,Скорее не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Затрудняюсь ответить,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,1,5,1,5,1,5,5,5,1,1,1,Единая Россия,False,False,False,False,False
