ID,Время создания,Время изменения,Ваш пол,Сколько вам лет?,"Укажите тип населённого пункта, в котором вы проживаете.",Источник ответов,Кого бы вы НЕ хотели видеть своим соседом? / Наркозависимого,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой расы,Кого бы вы НЕ хотели видеть своим соседом? / Гомосексуала,Кого бы вы НЕ хотели видеть своим соседом? / Иммигранта,Кого бы вы НЕ хотели видеть своим соседом? / Человека другой религии,Кого бы вы НЕ хотели видеть своим соседом? / Не против любого из перечисленных,"Согласны ли вы с утверждением: В целом, из мужчин получаются более хорошие политические лидеры, чем из женщин?","Согласны ли вы с утверждением: Гомосексуальные пары такие же хорошие родители, как и другие пары?",Согласны ли вы с утверждением: Религия играет важную роль в моей жизни.,Могли бы вы посетить несанкционированный политический митинг?,Доверяете ли вы Правительству?,Доверяете ли вы полиции?,"Согласны ли вы с утверждением: Среди политических лидеров женщины более компетентны, чем мужчины",Одобряете ли вы деятельность Владимира Путина?,"По вашему мнению, как часто в вашей стране фальсифицируют выборы?","По вашему мнению, какой должна быть иммиграционная политика?",Доверяете ли вы движениям за женские права?,"Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Для мужчины оправдано ударить свою жену","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Гомосексуализм - это норма","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Проституция может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Аборт может быть оправдан","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Родители могут ударить своего ребёнка","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Секс до брака - это норма","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Религия НЕ играет важную роль в моей жизни","""Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен)"""" / Мужчины лучше справляются с ответственными должностями","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Самоубийство может быть оправдано","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Эвтаназия может быть оправдана","Насколько вы согласны с утверждением (1 - полностью НЕ согласен, 
10 - полностью согласен) / Случайные половые связи могут быть оправданы","За какую партию вы бы проголосовали, если бы выборы были бы завтра?",failed_sexism_check,failed_religion_check,invalid_age,invalid_sex,failed_control
1090742371,2022-02-09 23:38:06,2022-02-09 23:38:06,Мужской,30-49,малый город (до 50 тыс. жителей),male_50,,,,Иммигранта,,Не против любого из перечисленных,Скорее не согласен,Скорее не согласен,Скорее не согласен,Никогда бы не посетил,Затрудняюсь ответить,Скорее не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,3.0,5.0,7.0,ЛДПР,True,False,True,False,True
1090720589,2022-02-09 23:05:20,2022-02-09 23:05:20,Мужской,до 29,средний город (50-100 тыс. жителей),male_50,Наркозависимого,,,Иммигранта,,,Затрудняюсь ответить,Скорее согласен,Скорее не согласен,Никогда бы не посетил,Скорее не доверяю,Полностью не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,1.0,7.0,5.0,10.0,1.0,10.0,8.0,5.0,3.0,8.0,5.0,ЛДПР,False,False,True,False,False
1090616084,2022-02-09 21:09:39,2022-02-09 21:09:39,Мужской,более 50,крупный город (свыше 500 тыс. жителей),male_50,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Не одобряю,Не очень часто,"Пускать всех желающих до тех пор, пока есть рабочие места",Скорее не доверяю,2.0,1.0,2.0,3.0,2.0,6.0,3.0,7.0,2.0,2.0,2.0,КПРФ,False,False,False,False,False
1090608690,2022-02-09 21:02:31,2022-02-09 21:02:31,Мужской,более 50,посёлок городского типа,male_50,Наркозависимого,,,,,,Скорее согласен,Полностью не согласен,Абсолютно согласен,Мог бы посетить,Скорее не доверяю,Скорее доверяю,Скорее не согласен,Не одобряю,Скорее часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее доверяю,1.0,1.0,5.0,5.0,1.0,9.0,1.0,5.0,1.0,5.0,5.0,Партия пенсионеров,False,False,False,False,False
1090608434,2022-02-09 21:02:15,2022-02-09 21:02:15,Мужской,более 50,средний город (50-100 тыс. жителей),male_50,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Скорее не согласен,Скорее не согласен,Мог бы посетить,Скорее доверяю,Скорее доверяю,Скорее не согласен,Одобряю,Совсем не часто,Мы должны пускать всех желающих,Скорее доверяю,1.0,1.0,4.0,3.0,2.0,9.0,8.0,8.0,1.0,2.0,1.0,ЛДПР,False,False,False,False,False
1090606617,2022-02-09 21:00:29,2022-02-09 21:00:29,Мужской,более 50,крупный город (свыше 500 тыс. жителей),male_50,Наркозависимого,Человека другой расы,Гомосексуала,,,,Скорее согласен,Скорее не согласен,Затрудняюсь ответить,Затрудняюсь ответить,Полностью не доверяю,Полностью не доверяю,Затрудняюсь ответить,Затрудняюсь ответить,Затрудняюсь ответить,Запретить приезжать сюда из других стран,Затрудняюсь ответить,5.0,1.0,5.0,7.0,8.0,8.0,7.0,10.0,10.0,10.0,5.0,ПАРНАС,True,False,False,False,True
1090606469,2022-02-09 21:00:20,2022-02-09 21:00:20,Мужской,30-49,средний город (50-100 тыс. жителей),male_50,Наркозависимого,,,,,,Затрудняюсь ответить,Полностью не согласен,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Полностью доверяю,Затрудняюсь ответить,Одобряю,Не очень часто,Затрудняюсь ответить,Затрудняюсь ответить,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Зелёные,False,False,True,False,False
1090603566,2022-02-09 20:57:42,2022-02-09 20:57:42,Мужской,более 50,крупный город (свыше 500 тыс. жителей),male_50,,,,Иммигранта,,,Скорее согласен,"Ни согласен, ни несогласен",Скорее согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Скорее не согласен,Затрудняюсь ответить,Не очень часто,Мы должны пускать всех желающих,Скорее доверяю,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,КПРФ,False,False,False,False,False
1090603381,2022-02-09 20:57:32,2022-02-09 20:57:32,Мужской,более 50,средний город (50-100 тыс. жителей),male_50,,,,,Человека другой религии,,Полностью согласен,Полностью не согласен,Скорее не согласен,Мог бы посетить,Скорее не доверяю,Скорее не доверяю,Абсолютно согласен,Затрудняюсь ответить,Очень часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Скорее не доверяю,3.0,1.0,5.0,1.0,8.0,8.0,5.0,8.0,1.0,1.0,5.0,Справедливая Россия - За Правду,True,False,False,False,True
1090602930,2022-02-09 20:57:09,2022-02-09 20:57:09,Мужской,более 50,крупный город (свыше 500 тыс. жителей),male_50,Наркозависимого,,Гомосексуала,,,,Скорее согласен,Полностью не согласен,Скорее согласен,Никогда бы не посетил,Скорее доверяю,Скорее не доверяю,Скорее не согласен,Одобряю,Совсем не часто,"Установить жесткие ограничения на количество иностранцев, которые могут сюда приехать",Абсолютно не доверяю,1.0,1.0,5.0,5.0,8.0,10.0,10.0,5.0,1.0,5.0,5.0,Единая Россия,False,True,False,False,True
